,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
22632549,4,7,10,459,4,2,5,3
22632576,9,6,10,918,2,2,5,3
22632836,63,7,9,459,4,2,3,3
22632891,72,1,0,459,2,0,0,0
22632925,77,8,1,1377,1,3,2,0
22632969,90,4,2,459,3,1,4,0
22633225,146,4,0,918,3,1,0,0
22633245,149,7,8,918,4,2,1,3
22633253,150,6,8,459,2,2,1,3
22633282,157,6,0,918,2,2,0,0
22633310,161,7,1,918,4,2,2,0
22633430,185,5,7,918,0,2,4,2
22633433,186,6,0,918,2,2,0,0
22633453,190,7,10,459,4,2,5,3
22633487,195,1,9,1377,2,0,3,3
22633727,247,4,10,918,3,1,5,3
22633733,249,6,0,918,2,2,0,0
22633858,273,6,5,459,2,2,0,2
22633964,294,8,5,459,1,3,0,2
22634170,337,3,10,1377,1,1,5,3
22634240,349,5,10,1377,0,2,5,3
22634279,356,6,2,918,2,2,4,0
22634338,369,1,3,459,2,0,1,1
22634354,372,6,0,918,2,2,0,0
22634364,373,1,9,1377,2,0,3,3
22634998,493,6,7,459,2,2,4,2
22635028,498,8,3,918,1,3,1,1
22635139,518,3,10,1377,1,1,5,3
22635148,520,5,10,1377,0,2,5,3
22635328,554,3,0,459,1,1,0,0
22635361,560,1,8,1377,2,0,1,3
22635765,637,9,0,1377,3,3,0,0
22635904,664,3,4,459,1,1,3,1
22635923,667,3,7,918,1,1,4,2
22635970,676,8,9,459,1,3,3,3
22636019,684,1,10,1377,2,0,5,3
22636347,742,3,8,918,1,1,1,3
22636367,747,1,8,1377,2,0,1,3
22636393,751,0,6,918,0,0,2,2
22636592,789,6,10,918,2,2,5,3
22636613,794,9,8,459,3,3,1,3
22636620,795,5,2,1377,0,2,4,0
22636841,838,3,0,459,1,1,0,0
22636898,851,6,2,918,2,2,4,0
22636931,854,7,8,918,4,2,1,3
22637012,870,2,10,1377,4,0,5,3
22637065,878,3,0,459,1,1,0,0
22637168,896,4,8,918,3,1,1,3
22637213,903,1,8,1377,2,0,1,3
22637326,923,6,3,459,2,2,1,1
22637376,932,9,10,459,3,3,5,3
22637383,933,1,8,1377,2,0,1,3
22637414,938,9,8,459,3,3,1,3
22637447,943,1,0,459,2,0,0,0
22637544,961,0,5,918,0,0,0,2
22637660,981,3,0,459,1,1,0,0
22637676,984,1,2,459,2,0,4,0
22637733,995,3,0,459,1,1,0,0
22637757,1000,1,7,918,2,0,4,2
22637850,1016,6,10,918,2,2,5,3
22637851,1016,5,0,918,0,2,0,0
22637868,1019,6,9,459,2,2,3,3
22637886,1023,3,10,1377,1,1,5,3
22637907,1027,2,8,1377,4,0,1,3
22637957,1037,3,9,918,1,1,3,3
22637970,1040,4,0,918,3,1,0,0
22638098,1062,6,0,918,2,2,0,0
22638117,1066,6,10,918,2,2,5,3
22638392,1116,4,8,918,3,1,1,3
22638449,1127,4,3,459,3,1,1,1
22638591,1151,3,0,459,1,1,0,0
22638593,1151,8,10,918,1,3,5,3
22638662,1166,6,7,459,2,2,4,2
22638691,1171,2,8,1377,4,0,1,3
22638698,1172,4,2,459,3,1,4,0
22638709,1174,1,5,918,2,0,0,2
22638769,1184,6,3,459,2,2,1,1
22638807,1192,1,5,918,2,0,0,2
22638916,1210,3,2,918,1,1,4,0
22638986,1221,5,10,1377,0,2,5,3
22638987,1221,8,0,1377,1,3,0,0
22639053,1232,6,0,918,2,2,0,0
22639059,1233,9,10,459,3,3,5,3
22639132,1246,1,0,459,2,0,0,0
22639201,1259,1,3,459,2,0,1,1
22639259,1271,4,10,918,3,1,5,3
22639341,1285,3,10,1377,1,1,5,3
22639447,1304,3,7,918,1,1,4,2
22639465,1308,4,3,459,3,1,1,1
22639470,1309,9,8,459,3,3,1,3
22639541,1323,4,10,918,3,1,5,3
22639558,1325,4,6,459,3,1,2,2
22639578,1328,2,10,1377,4,0,5,3
22639644,1338,9,3,918,3,3,1,1
22639655,1341,4,10,918,3,1,5,3
22639678,1345,7,2,918,4,2,4,0
22639679,1345,9,3,918,3,3,1,1
22639689,1348,4,5,918,3,1,0,2
22639799,1367,3,8,918,1,1,1,3
22639840,1373,4,3,459,3,1,1,1
22639905,1386,5,0,918,0,2,0,0
22639984,1398,5,0,918,0,2,0,0
22640004,1400,6,1,918,2,2,2,0
22640061,1408,6,10,918,2,2,5,3
22640076,1412,3,10,1377,1,1,5,3
22640130,1422,1,4,459,2,0,3,1
22640173,1430,4,2,459,3,1,4,0
22640196,1434,5,0,918,0,2,0,0
22640213,1437,6,2,918,2,2,4,0
22640311,1453,8,5,459,1,3,0,2
22640317,1455,2,0,918,4,0,0,0
22640414,1471,4,8,918,3,1,1,3
22640453,1478,1,2,459,2,0,4,0
22640506,1487,6,10,918,2,2,5,3
22640579,1504,1,10,1377,2,0,5,3
22640595,1507,3,9,918,1,1,3,3
22640681,1521,6,2,918,2,2,4,0
22640685,1522,4,8,918,3,1,1,3
22640750,1537,6,3,459,2,2,1,1
22640891,1567,4,8,918,3,1,1,3
22640992,1587,4,7,459,3,1,4,2
22641046,1597,3,0,459,1,1,0,0
22641056,1600,7,10,459,4,2,5,3
22641165,1617,6,10,918,2,2,5,3
22641241,1632,1,0,459,2,0,0,0
22641420,1666,1,2,459,2,0,4,0
22641427,1668,1,2,459,2,0,4,0
22641485,1679,3,8,918,1,1,1,3
22641517,1686,4,0,918,3,1,0,0
22641549,1693,3,5,459,1,1,0,2
22641634,1710,8,10,918,1,3,5,3
22641715,1726,6,10,918,2,2,5,3
22641718,1727,8,0,1377,1,3,0,0
22641731,1730,8,5,459,1,3,0,2
22641972,1778,7,10,459,4,2,5,3
22642083,1796,2,7,918,4,0,4,2
22642084,1796,5,8,459,0,2,1,3
22642324,1844,1,8,1377,2,0,1,3
22642462,1872,1,5,918,2,0,0,2
22642466,1873,5,8,459,0,2,1,3
22642491,1876,5,10,1377,0,2,5,3
22642557,1891,6,8,459,2,2,1,3
22642619,1906,4,10,918,3,1,5,3
22642724,1927,6,5,459,2,2,0,2
22642872,1957,7,4,459,4,2,3,1
22642882,1960,9,4,918,3,3,3,1
22642914,1966,1,5,918,2,0,0,2
22642951,1974,9,5,918,3,3,0,2
22642955,1975,1,10,1377,2,0,5,3
22642978,1979,4,10,918,3,1,5,3
22642995,1982,6,8,459,2,2,1,3
22643119,2002,6,9,459,2,2,3,3
22643169,2013,3,0,459,1,1,0,0
22643173,2014,6,10,918,2,2,5,3
22643191,2019,3,10,1377,1,1,5,3
22643244,2032,1,8,1377,2,0,1,3
22643267,2036,4,0,918,3,1,0,0
22643339,2051,4,7,459,3,1,4,2
22643392,2059,3,8,918,1,1,1,3
22643501,2079,4,8,918,3,1,1,3
22643524,2084,7,5,918,4,2,0,2
22643563,2089,4,3,459,3,1,1,1
22643624,2100,1,0,459,2,0,0,0
22643805,2134,5,2,1377,0,2,4,0
22643824,2137,6,0,918,2,2,0,0
22643851,2143,3,8,918,1,1,1,3
22643870,2147,6,0,918,2,2,0,0
22643885,2151,1,8,1377,2,0,1,3
