,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
4025587,11,6,10,918,2,2,5,3
4025644,19,4,0,918,3,1,0,0
4025728,37,5,8,459,0,2,1,3
4026042,89,3,0,459,1,1,0,0
4026122,104,6,5,459,2,2,0,2
4026153,108,6,10,918,2,2,5,3
4026265,126,8,2,1377,1,3,4,0
4026289,130,5,1,918,0,2,2,0
4026343,139,5,10,1377,0,2,5,3
4026354,140,2,10,1377,4,0,5,3
4026448,154,8,6,459,1,3,2,2
4026579,174,1,2,459,2,0,4,0
4026598,177,7,1,918,4,2,2,0
4026612,178,0,2,918,0,0,4,0
4026775,208,8,6,459,1,3,2,2
4026790,211,8,0,1377,1,3,0,0
4026796,212,4,2,459,3,1,4,0
4026817,215,1,7,918,2,0,4,2
4026917,230,2,8,1377,4,0,1,3
4026987,241,7,10,459,4,2,5,3
4027015,246,1,8,1377,2,0,1,3
4027058,253,3,1,459,1,1,2,0
4027232,281,4,8,918,3,1,1,3
4027274,289,7,9,459,4,2,3,3
4027281,290,9,2,1377,3,3,4,0
4027315,295,1,10,1377,2,0,5,3
4027412,312,2,0,918,4,0,0,0
4027636,345,3,10,1377,1,1,5,3
4027740,362,6,2,918,2,2,4,0
4027784,371,8,0,1377,1,3,0,0
4027825,378,9,2,1377,3,3,4,0
4027869,383,7,3,918,4,2,1,1
4027893,388,6,2,918,2,2,4,0
4027905,388,5,3,459,0,2,1,1
4027932,392,7,0,1377,4,2,0,0
4028003,404,6,10,918,2,2,5,3
4028203,435,3,2,918,1,1,4,0
4028268,444,5,6,459,0,2,2,2
4028309,453,8,10,918,1,3,5,3
4028380,464,1,5,918,2,0,0,2
4028384,465,4,0,918,3,1,0,0
4028430,473,4,10,918,3,1,5,3
4028449,475,5,0,918,0,2,0,0
4028514,486,3,9,918,1,1,3,3
4028585,497,6,10,918,2,2,5,3
4028737,522,1,2,459,2,0,4,0
4028749,525,7,0,1377,4,2,0,0
4028868,544,5,10,1377,0,2,5,3
4028881,546,6,10,918,2,2,5,3
4029206,598,6,2,918,2,2,4,0
4029235,602,5,0,918,0,2,0,0
4029318,614,0,1,459,0,0,2,0
