,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
22869343,4,25,31,1834,8,6,6,8
22869364,6,8,1,1834,4,2,2,0
22869387,10,35,37,1834,7,9,11,9
22869408,14,28,27,917,7,7,5,7
22869431,17,15,18,1834,4,4,1,5
22869453,21,21,15,1834,7,5,4,4
22869475,26,28,15,2751,7,7,4,4
22869495,29,28,35,1834,7,7,7,9
22869516,33,29,33,917,9,7,10,8
22869539,37,25,27,1834,8,6,5,7
22869560,43,4,16,2751,3,1,6,4
22869583,48,17,34,3668,8,4,12,8
22869603,51,4,3,917,3,1,1,1
22869625,54,29,36,1834,9,7,9,9
22869648,58,8,1,1834,4,2,2,0
22869669,62,8,24,3668,4,2,6,6
22869691,67,19,24,1834,3,5,6,6
22869713,71,28,26,1834,7,7,10,6
22869736,74,14,16,1834,2,4,6,4
22869756,78,29,37,1834,9,7,11,9
22869776,82,8,0,2751,4,2,0,0
22869798,85,32,35,917,8,8,7,9
22869820,89,2,3,1834,4,0,1,1
22869841,94,8,14,1834,4,2,2,4
22869863,98,32,36,917,8,8,9,9
22869884,102,7,14,1834,2,2,2,4
22869904,104,25,33,1834,8,6,10,8
22869928,109,28,17,2751,7,7,8,4
22869949,111,4,3,917,3,1,1,1
22869970,117,28,24,917,7,7,6,6
22869991,120,22,36,3668,9,5,9,9
22870012,124,26,16,2751,10,6,6,4
22870032,127,11,0,2751,3,3,0,0
22870055,132,8,3,1834,4,2,1,1
22870077,136,10,16,2751,1,3,6,4
22870102,139,21,24,917,7,5,6,6
22870122,142,28,37,2751,7,7,11,9
22870146,147,7,13,1834,2,2,0,4
22870167,151,7,13,1834,2,2,0,4
22870189,155,4,13,2751,3,1,0,4
22870212,161,28,37,2751,7,7,11,9
22870234,165,28,37,2751,7,7,11,9
22870256,169,7,5,1834,2,2,5,1
22870277,173,11,10,917,3,3,1,3
22870297,176,29,36,1834,9,7,9,9
22870319,178,8,13,2751,4,2,0,4
22870343,183,15,13,1834,4,4,0,4
22870365,186,10,5,2751,1,3,5,1
22870385,192,3,0,917,1,1,0,0
22870408,196,28,23,1834,7,7,4,6
22870431,200,11,3,1834,3,3,1,1
22870455,203,11,14,917,3,3,2,4
22870477,205,7,14,1834,2,2,2,4
22870503,211,14,20,1834,2,4,5,5
22870525,214,25,23,1834,8,6,4,6
22870549,220,7,16,2751,2,2,6,4
22870570,224,10,13,917,1,3,0,4
22870590,228,32,37,1834,8,8,11,9
22870614,232,28,24,917,7,7,6,6
22870634,236,14,16,1834,2,4,6,4
22870658,240,7,16,2751,2,2,6,4
22870679,244,8,16,1834,4,2,6,4
22870700,246,26,35,2751,10,6,7,9
22870722,250,25,16,1834,8,6,6,4
22870744,256,25,15,2751,8,6,4,4
22870764,260,14,6,1834,2,4,0,2
22870785,264,11,8,917,3,3,4,2
22870806,267,7,6,917,2,2,0,2
22870827,272,10,14,917,1,3,2,4
22870847,276,28,35,1834,7,7,7,9
22870871,280,15,24,1834,4,4,6,6
22870892,285,32,37,1834,8,8,11,9
22870912,287,25,30,1834,8,6,11,7
22870934,291,11,16,1834,3,3,6,4
22870955,295,15,16,917,4,4,6,4
22870978,301,8,5,917,4,2,5,1
22870998,303,28,26,1834,7,7,10,6
22871019,306,7,14,1834,2,2,2,4
22871040,310,10,14,917,1,3,2,4
22871061,313,7,15,1834,2,2,4,4
22871083,316,25,23,1834,8,6,4,6
22871104,320,8,12,917,4,2,5,3
22871125,322,28,24,917,7,7,6,6
22871146,326,28,16,2751,7,7,6,4
22871168,330,16,12,917,6,4,5,3
22871189,333,7,13,1834,2,2,0,4
22871209,337,8,15,1834,4,2,4,4
22871229,341,24,37,3668,6,6,11,9
22871253,344,15,12,917,4,4,5,3
22871276,347,32,16,3668,8,8,6,4
22871297,352,11,13,1834,3,3,0,4
22871317,354,8,5,917,4,2,5,1
22871338,359,31,26,2751,6,8,10,6
22871359,363,11,0,2751,3,3,0,0
22871380,368,29,36,1834,9,7,9,9
22871400,371,32,37,1834,8,8,11,9
22871421,375,15,16,917,4,4,6,4
22871442,378,25,36,2751,8,6,9,9
22871464,382,10,6,917,1,3,0,2
22871485,385,24,28,917,6,6,7,7
22871508,389,31,26,2751,6,8,10,6
22871529,395,28,23,1834,7,7,4,6
22871553,399,11,6,1834,3,3,0,2
22871574,402,35,37,1834,7,9,11,9
22871599,406,8,10,1834,4,2,1,3
22871619,410,11,20,1834,3,3,5,5
22871642,415,21,20,917,7,5,5,5
22871668,419,15,16,917,4,4,6,4
22871693,423,32,35,917,8,8,7,9
22871713,427,29,35,1834,9,7,7,9
22871734,430,11,3,1834,3,3,1,1
22871754,433,29,24,1834,9,7,6,6
22871776,436,21,29,1834,7,5,9,7
22871799,439,11,5,1834,3,3,5,1
22871820,443,7,12,1834,2,2,5,3
22871841,446,31,35,917,6,8,7,9
22871863,449,24,35,2751,6,6,7,9
22871883,452,7,15,1834,2,2,4,4
22871903,456,14,0,3668,2,4,0,0
22871923,459,24,26,1834,6,6,10,6
22871944,462,11,23,2751,3,3,4,6
22871964,468,15,0,3668,4,4,0,0
22871984,470,25,17,1834,8,6,8,4
22872004,474,28,37,2751,7,7,11,9
22872026,479,7,13,1834,2,2,0,4
22872046,482,37,22,3668,11,9,9,5
22872070,486,28,35,1834,7,7,7,9
22872092,490,29,35,1834,9,7,7,9
22872112,495,10,0,2751,1,3,0,0
22872134,498,25,23,1834,8,6,4,6
22872155,501,32,24,1834,8,8,6,6
22872175,504,29,34,1834,9,7,12,8
22872198,507,7,0,1834,2,2,0,0
22872220,510,31,36,1834,6,8,9,9
22872241,514,29,24,1834,9,7,6,6
22872263,518,4,0,1834,3,1,0,0
22872288,522,22,26,917,9,5,10,6
22872309,524,32,37,1834,8,8,11,9
22872329,526,8,23,3668,4,2,4,6
22872353,532,25,37,2751,8,6,11,9
22872373,537,26,27,2751,10,6,5,7
22872394,541,11,14,917,3,3,2,4
22872416,545,28,21,1834,7,7,7,5
22872438,549,8,1,1834,4,2,2,0
22872458,551,29,37,1834,9,7,11,9
22872479,555,32,29,917,8,8,9,7
22872500,557,32,25,1834,8,8,8,6
22872522,560,15,13,1834,4,4,0,4
22872543,563,25,34,2751,8,6,12,8
22872564,568,8,10,1834,4,2,1,3
22872585,571,28,35,1834,7,7,7,9
22872607,575,28,37,2751,7,7,11,9
22872627,578,29,33,917,9,7,10,8
22872651,582,15,9,1834,4,4,6,2
22872672,586,14,10,917,2,4,1,3
22872693,589,33,31,1834,10,8,6,8
22872716,591,29,24,1834,9,7,6,6
22872740,596,19,13,1834,3,5,0,4
