,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
46185342,2,5,13,3668,5,1,0,4
46185364,6,8,2,1834,4,2,4,0
46185387,12,9,5,917,6,2,5,1
46185409,17,32,35,917,8,8,7,9
46185430,21,25,16,1834,8,6,6,4
46185451,25,4,2,917,3,1,4,0
46185478,29,11,23,2751,3,3,4,6
46185502,35,11,16,1834,3,3,6,4
46185526,40,28,35,1834,7,7,7,9
46185549,44,19,24,1834,3,5,6,6
46185572,48,4,0,1834,3,1,0,0
46185592,53,14,20,1834,2,4,5,5
46185614,58,29,20,2751,9,7,5,5
46185635,63,29,35,1834,9,7,7,9
46185656,65,10,20,2751,1,3,5,5
46185676,69,25,20,1834,8,6,5,5
46185698,75,25,16,1834,8,6,6,4
46185719,79,15,14,917,4,4,2,4
46185740,82,15,24,1834,4,4,6,6
46185760,86,8,0,2751,4,2,0,0
46185783,91,32,36,917,8,8,9,9
46185806,94,11,24,2751,3,3,6,6
46185827,99,15,9,1834,4,4,6,2
46185849,103,25,23,1834,8,6,4,6
46185872,107,19,24,1834,3,5,6,6
46185894,111,25,26,917,8,6,10,6
46185916,115,25,34,2751,8,6,12,8
46185937,120,10,9,2751,1,3,6,2
46185960,123,7,0,1834,2,2,0,0
46185980,128,15,20,917,4,4,5,5
46186001,131,32,35,917,8,8,7,9
46186021,134,11,1,2751,3,3,2,0
46186043,138,8,24,3668,4,2,6,6
46186064,142,25,34,2751,8,6,12,8
46186084,146,7,0,1834,2,2,0,0
46186107,151,8,5,917,4,2,5,1
46186128,154,25,35,2751,8,6,7,9
46186151,159,32,17,3668,8,8,8,4
46186172,163,5,9,917,5,1,6,2
46186193,168,8,7,917,4,2,2,2
46186216,171,21,26,1834,7,5,10,6
46186236,174,8,14,1834,4,2,2,4
46186258,178,29,25,917,9,7,8,6
46186281,183,29,26,917,9,7,10,6
46186304,187,7,8,917,2,2,4,2
46186326,190,33,26,1834,10,8,10,6
46186348,196,11,6,1834,3,3,0,2
46186369,198,14,24,2751,2,4,6,6
46186389,204,32,35,917,8,8,7,9
46186409,208,25,28,917,8,6,7,7
46186430,212,29,22,1834,9,7,9,5
46186452,215,32,37,1834,8,8,11,9
46186472,219,7,2,1834,2,2,4,0
46186494,224,31,35,917,6,8,7,9
46186516,229,11,5,1834,3,3,5,1
46186537,234,11,24,2751,3,3,6,6
46186560,240,7,13,1834,2,2,0,4
46186580,242,15,8,1834,4,4,4,2
46186600,247,8,16,1834,4,2,6,4
46186621,251,11,9,1834,3,3,6,2
46186642,256,28,20,1834,7,7,5,5
46186663,259,4,13,2751,3,1,0,4
46186685,263,15,10,1834,4,4,1,3
46186707,267,25,37,2751,8,6,11,9
46186730,271,4,14,2751,3,1,2,4
46186752,275,28,23,1834,7,7,4,6
46186773,278,7,9,1834,2,2,6,2
46186796,283,32,33,917,8,8,10,8
46186817,286,25,37,2751,8,6,11,9
46186839,290,11,1,2751,3,3,2,0
46186860,293,28,36,1834,7,7,9,9
46186880,297,7,13,1834,2,2,0,4
46186900,301,28,34,2751,7,7,12,8
46186922,305,25,17,1834,8,6,8,4
46186943,308,8,6,1834,4,2,0,2
46186968,313,1,4,917,2,0,3,1
46186992,316,11,6,1834,3,3,0,2
46187016,321,11,16,1834,3,3,6,4
46187037,325,28,35,1834,7,7,7,9
46187061,330,29,34,1834,9,7,12,8
46187083,334,28,30,1834,7,7,11,7
46187103,338,25,23,1834,8,6,4,6
46187126,343,1,13,3668,2,0,0,4
46187146,346,11,8,917,3,3,4,2
46187166,350,25,23,1834,8,6,4,6
46187187,354,19,15,917,3,5,4,4
46187209,358,7,16,2751,2,2,6,4
46187230,362,28,37,2751,7,7,11,9
46187250,367,8,16,1834,4,2,6,4
46187271,372,14,24,2751,2,4,6,6
46187293,374,11,18,1834,3,3,1,5
46187316,379,11,15,917,3,3,4,4
46187338,383,4,2,917,3,1,4,0
46187360,388,11,16,1834,3,3,6,4
46187381,393,32,26,1834,8,8,10,6
46187401,398,15,18,1834,4,4,1,5
46187424,401,25,33,1834,8,6,10,8
46187446,404,29,16,2751,9,7,6,4
46187468,407,8,5,917,4,2,5,1
46187490,410,14,10,917,2,4,1,3
46187512,416,25,23,1834,8,6,4,6
46187535,420,8,0,2751,4,2,0,0
46187556,426,33,36,917,10,8,9,9
46187578,431,4,15,2751,3,1,4,4
46187602,437,28,23,1834,7,7,4,6
46187624,440,14,16,1834,2,4,6,4
46187646,445,14,16,1834,2,4,6,4
46187669,450,21,22,917,7,5,9,5
46187693,455,19,13,1834,3,5,0,4
46187715,458,4,0,1834,3,1,0,0
46187736,463,7,13,1834,2,2,0,4
46187756,467,32,37,1834,8,8,11,9
46187776,470,4,3,917,3,1,1,1
46187797,474,25,15,2751,8,6,4,4
46187819,480,25,34,2751,8,6,12,8
46187839,485,28,20,1834,7,7,5,5
46187860,489,25,35,2751,8,6,7,9
46187883,493,10,23,2751,1,3,4,6
46187903,497,11,6,1834,3,3,0,2
46187925,500,29,36,1834,9,7,9,9
46187947,503,11,13,1834,3,3,0,4
46187968,507,11,16,1834,3,3,6,4
46187988,511,25,23,1834,8,6,4,6
46188011,515,19,10,1834,3,5,1,3
46188032,519,11,15,917,3,3,4,4
46188055,522,19,0,4585,3,5,0,0
46188078,525,31,37,2751,6,8,11,9
46188099,529,25,33,1834,8,6,10,8
46188121,533,7,15,1834,2,2,4,4
46188143,537,8,1,1834,4,2,2,0
46188164,542,4,2,917,3,1,4,0
46188189,547,28,22,1834,7,7,9,5
46188209,550,4,1,917,3,1,2,0
46188230,555,28,33,1834,7,7,10,8
46188251,558,7,0,1834,2,2,0,0
46188272,562,32,26,1834,8,8,10,6
46188294,568,2,0,1834,4,0,0,0
46188318,573,7,13,1834,2,2,0,4
46188338,576,4,3,917,3,1,1,1
46188358,579,7,15,1834,2,2,4,4
46188381,582,29,21,1834,9,7,7,5
46188402,585,11,18,1834,3,3,1,5
46188424,588,7,3,917,2,2,1,1
46188445,592,22,23,2751,9,5,4,6
46188467,596,11,8,917,3,3,4,2
46188490,600,28,23,1834,7,7,4,6
46188511,604,11,6,1834,3,3,0,2
46188532,607,8,0,2751,4,2,0,0
46188554,611,4,10,1834,3,1,1,3
46188575,616,8,16,1834,4,2,6,4
46188596,619,14,18,917,2,4,1,5
46188616,624,8,13,2751,4,2,0,4
46188638,629,22,16,1834,9,5,6,4
46188659,634,32,34,1834,8,8,12,8
46188681,637,25,20,1834,8,6,5,5
46188703,642,15,23,1834,4,4,4,6
46188726,646,26,37,2751,10,6,11,9
46188747,650,21,36,3668,7,5,9,9
46188769,655,11,20,1834,3,3,5,5
46188793,658,21,16,917,7,5,6,4
46188815,663,29,37,1834,9,7,11,9
46188837,667,11,23,2751,3,3,4,6
46188857,670,7,10,917,2,2,1,3
46188878,674,25,21,917,8,6,7,5
46188903,677,28,23,1834,7,7,4,6
46188926,680,7,15,1834,2,2,4,4
46188949,684,31,27,917,6,8,5,7
46188975,688,8,3,1834,4,2,1,1
46188997,692,32,20,2751,8,8,5,5
46189018,694,5,15,2751,5,1,4,4
46189040,698,25,24,917,8,6,6,6
46189062,703,11,15,917,3,3,4,4
46189086,706,25,15,2751,8,6,4,4
46189110,710,25,37,2751,8,6,11,9
46189131,712,7,16,2751,2,2,6,4
46189154,717,10,14,917,1,3,2,4
46189176,722,8,0,2751,4,2,0,0
46189196,726,11,9,1834,3,3,6,2
46189217,729,32,35,917,8,8,7,9
46189240,732,32,31,917,8,8,6,8
46189261,736,19,23,917,3,5,4,6
46189286,740,28,36,1834,7,7,9,9
46189308,745,29,35,1834,9,7,7,9
46189330,747,11,16,1834,3,3,6,4
46189353,753,15,16,917,4,4,6,4
46189373,756,11,13,1834,3,3,0,4
46189395,760,11,16,1834,3,3,6,4
46189417,765,17,22,917,8,4,9,5
46189438,769,31,23,1834,6,8,4,6
46189459,774,4,3,917,3,1,1,1
46189482,777,11,18,1834,3,3,1,5
46189502,780,32,35,917,8,8,7,9
46189523,783,32,35,917,8,8,7,9
46189546,788,11,9,1834,3,3,6,2
46189568,792,29,15,3668,9,7,4,4
46189590,797,7,12,1834,2,2,5,3
46189612,800,11,2,2751,3,3,4,0
46189633,805,26,24,1834,10,6,6,6
46189656,809,7,0,1834,2,2,0,0
46189676,812,26,37,2751,10,6,11,9
46189697,816,25,35,2751,8,6,7,9
46189717,819,14,24,2751,2,4,6,6
46189737,823,19,15,917,3,5,4,4
46189757,826,14,13,917,2,4,0,4
46189781,830,14,10,917,2,4,1,3
46189803,835,11,13,1834,3,3,0,4
46189827,839,14,24,2751,2,4,6,6
46189850,843,12,6,2751,5,3,0,2
46189870,846,28,36,1834,7,7,9,9
46189891,850,32,35,917,8,8,7,9
46189911,853,29,35,1834,9,7,7,9
46189935,858,21,15,1834,7,5,4,4
46189960,862,32,16,3668,8,8,6,4
46189980,867,8,6,1834,4,2,0,2
46190001,870,8,23,3668,4,2,4,6
46190023,874,29,35,1834,9,7,7,9
46190045,879,11,9,1834,3,3,6,2
46190065,883,25,35,2751,8,6,7,9
46190087,887,25,37,2751,8,6,11,9
46190109,890,11,13,1834,3,3,0,4
46190130,894,32,23,2751,8,8,4,6
46190150,897,7,5,1834,2,2,5,1
46190170,901,7,15,1834,2,2,4,4
46190191,906,7,6,917,2,2,0,2
46190211,909,7,0,1834,2,2,0,0
46190232,912,8,2,1834,4,2,4,0
46190252,916,22,16,1834,9,5,6,4
46190274,920,29,15,3668,9,7,4,4
46190296,923,26,36,2751,10,6,9,9
46190317,926,21,20,917,7,5,5,5
46190338,929,4,6,1834,3,1,0,2
46190360,933,33,35,1834,10,8,7,9
46190382,938,11,5,1834,3,3,5,1
46190403,941,25,28,917,8,6,7,7
46190426,946,22,16,1834,9,5,6,4
46190448,951,35,16,4585,7,9,6,4
46190470,955,14,20,1834,2,4,5,5
46190496,960,25,26,917,8,6,10,6
46190516,964,3,1,917,1,1,2,0
46190539,968,32,34,1834,8,8,12,8
46190559,971,28,36,1834,7,7,9,9
46190581,975,28,23,1834,7,7,4,6
46190602,979,4,12,1834,3,1,5,3
46190623,982,7,0,1834,2,2,0,0
46190646,985,32,35,917,8,8,7,9
46190667,989,12,6,2751,5,3,0,2
46190687,993,12,0,3668,5,3,0,0
46190710,997,17,15,1834,8,4,4,4
46190730,1001,15,24,1834,4,4,6,6
46190753,1006,7,9,1834,2,2,6,2
46190774,1011,11,5,1834,3,3,5,1
46190796,1015,29,23,2751,9,7,4,6
46190819,1018,29,36,1834,9,7,9,9
46190841,1023,29,28,917,9,7,7,7
46190861,1028,15,24,1834,4,4,6,6
46190883,1032,14,24,2751,2,4,6,6
46190907,1036,11,4,1834,3,3,3,1
46190930,1039,24,15,1834,6,6,4,4
46190953,1042,10,6,917,1,3,0,2
46190974,1045,25,37,2751,8,6,11,9
46190995,1048,22,37,3668,9,5,11,9
46191018,1052,11,3,1834,3,3,1,1
46191040,1057,32,23,2751,8,8,4,6
46191063,1062,29,37,1834,9,7,11,9
46191084,1069,7,24,3668,2,2,6,6
46191107,1072,33,37,917,10,8,11,9
46191131,1077,11,16,1834,3,3,6,4
46191154,1081,25,22,917,8,6,9,5
46191178,1086,14,24,2751,2,4,6,6
46191198,1091,8,13,2751,4,2,0,4
46191221,1094,11,15,917,3,3,4,4
46191242,1101,7,2,1834,2,2,4,0
46191263,1105,32,28,917,8,8,7,7
46191284,1109,29,24,1834,9,7,6,6
46191304,1114,28,23,1834,7,7,4,6
46191327,1118,24,27,917,6,6,5,7
46191351,1124,29,23,2751,9,7,4,6
46191375,1127,8,16,1834,4,2,6,4
46191398,1132,28,16,2751,7,7,6,4
46191420,1135,12,15,917,5,3,4,4
46191442,1139,31,23,1834,6,8,4,6
46191462,1141,28,23,1834,7,7,4,6
46191485,1144,25,28,917,8,6,7,7
46191506,1149,14,13,917,2,4,0,4
46191527,1152,11,13,1834,3,3,0,4
46191549,1155,19,16,1834,3,5,6,4
46191569,1158,22,21,917,9,5,7,5
46191593,1163,11,16,1834,3,3,6,4
46191615,1166,11,5,1834,3,3,5,1
46191635,1169,11,24,2751,3,3,6,6
46191656,1174,7,16,2751,2,2,6,4
46191676,1176,32,35,917,8,8,7,9
46191698,1180,14,16,1834,2,4,6,4
46191719,1184,11,24,2751,3,3,6,6
46191740,1187,32,36,917,8,8,9,9
46191764,1191,32,36,917,8,8,9,9
46191785,1196,8,20,2751,4,2,5,5
46191809,1199,8,16,1834,4,2,6,4
46191834,1203,28,26,1834,7,7,10,6
46191856,1209,32,35,917,8,8,7,9
46191879,1213,35,37,1834,7,9,11,9
46191901,1219,7,2,1834,2,2,4,0
46191923,1223,8,14,1834,4,2,2,4
46191947,1229,4,13,2751,3,1,0,4
46191968,1233,25,16,1834,8,6,6,4
46191989,1238,25,37,2751,8,6,11,9
46192009,1242,5,14,2751,5,1,2,4
46192030,1246,36,35,917,9,9,7,9
46192053,1251,4,14,2751,3,1,2,4
46192075,1254,25,28,917,8,6,7,7
46192097,1257,8,16,1834,4,2,6,4
46192117,1261,29,36,1834,9,7,9,9
46192137,1266,7,9,1834,2,2,6,2
46192157,1270,7,0,1834,2,2,0,0
46192182,1275,12,13,2751,5,3,0,4
46192203,1279,29,16,2751,9,7,6,4
46192225,1285,15,9,1834,4,4,6,2
46192247,1290,10,15,1834,1,3,4,4
46192268,1293,29,36,1834,9,7,9,9
46192288,1296,28,36,1834,7,7,9,9
46192311,1301,15,20,917,4,4,5,5
46192333,1304,32,37,1834,8,8,11,9
46192354,1307,11,16,1834,3,3,6,4
46192376,1313,7,13,1834,2,2,0,4
46192396,1316,7,24,3668,2,2,6,6
46192417,1320,7,1,1834,2,2,2,0
46192440,1323,7,15,1834,2,2,4,4
46192463,1328,7,16,2751,2,2,6,4
46192484,1333,35,37,1834,7,9,11,9
46192507,1337,5,1,1834,5,1,2,0
46192530,1343,7,0,1834,2,2,0,0
46192551,1346,28,22,1834,7,7,9,5
46192571,1349,19,16,1834,3,5,6,4
46192592,1352,7,16,2751,2,2,6,4
46192612,1356,11,3,1834,3,3,1,1
46192635,1362,29,36,1834,9,7,9,9
46192658,1367,11,1,2751,3,3,2,0
46192679,1371,11,15,917,3,3,4,4
46192701,1377,29,37,1834,9,7,11,9
46192725,1383,8,0,2751,4,2,0,0
46192747,1385,11,3,1834,3,3,1,1
46192768,1389,11,18,1834,3,3,1,5
46192791,1393,21,23,1834,7,5,4,6
46192814,1397,8,1,1834,4,2,2,0
46192835,1401,7,2,1834,2,2,4,0
46192858,1406,25,26,917,8,6,10,6
46192879,1411,15,24,1834,4,4,6,6
46192900,1415,11,18,1834,3,3,1,5
46192921,1421,24,35,2751,6,6,7,9
46192942,1426,1,8,1834,2,0,4,2
