,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
9720600,2,11,16,1834,3,3,6,4
9720620,6,32,35,917,8,8,7,9
9720642,9,21,23,1834,7,5,4,6
9720665,16,25,35,2751,8,6,7,9
9720687,21,11,14,917,3,3,2,4
9720707,26,14,24,2751,2,4,6,6
9720729,32,25,15,2751,8,6,4,4
9720750,37,29,35,1834,9,7,7,9
9720770,43,25,23,1834,8,6,4,6
9720794,48,11,12,917,3,3,5,3
9720816,53,28,23,1834,7,7,4,6
9720839,59,25,31,1834,8,6,6,8
9720860,64,4,14,2751,3,1,2,4
9720880,70,11,13,1834,3,3,0,4
9720903,77,4,12,1834,3,1,5,3
9720923,82,32,36,917,8,8,9,9
9720947,86,29,26,917,9,7,10,6
9720968,92,7,12,1834,2,2,5,3
9720993,97,29,37,1834,9,7,11,9
9721015,102,7,13,1834,2,2,0,4
9721037,108,28,23,1834,7,7,4,6
9721058,112,11,12,917,3,3,5,3
9721079,117,7,20,2751,2,2,5,5
9721104,123,7,24,3668,2,2,6,6
9721126,129,8,9,917,4,2,6,2
9721146,133,11,13,1834,3,3,0,4
9721168,139,10,23,2751,1,3,4,6
9721188,143,28,37,2751,7,7,11,9
9721210,150,11,16,1834,3,3,6,4
9721231,156,24,27,917,6,6,5,7
9721254,162,25,15,2751,8,6,4,4
9721276,166,11,7,917,3,3,2,2
9721297,172,32,35,917,8,8,7,9
9721320,177,19,13,1834,3,5,0,4
9721342,182,15,13,1834,4,4,0,4
9721369,189,11,8,917,3,3,4,2
9721390,193,25,22,917,8,6,9,5
9721411,197,26,16,2751,10,6,6,4
9721432,202,28,15,2751,7,7,4,4
9721457,207,22,16,1834,9,5,6,4
9721477,211,11,14,917,3,3,2,4
9721502,216,8,20,2751,4,2,5,5
9721522,219,32,29,917,8,8,9,7
9721544,224,26,34,1834,10,6,12,8
9721567,231,8,1,1834,4,2,2,0
9721588,236,32,27,1834,8,8,5,7
9721610,243,11,2,2751,3,3,4,0
9721632,247,25,33,1834,8,6,10,8
9721654,255,11,23,2751,3,3,4,6
9721676,259,28,20,1834,7,7,5,5
9721697,265,32,24,1834,8,8,6,6
9721720,269,7,16,2751,2,2,6,4
9721745,273,11,13,1834,3,3,0,4
9721767,280,4,0,1834,3,1,0,0
9721788,286,31,29,1834,6,8,9,7
9721810,289,11,12,917,3,3,5,3
9721834,296,29,34,1834,9,7,12,8
9721859,300,11,2,2751,3,3,4,0
9721881,305,7,24,3668,2,2,6,6
9721903,309,28,24,917,7,7,6,6
9721926,315,29,23,2751,9,7,4,6
9721948,321,1,0,917,2,0,0,0
9721970,325,14,16,1834,2,4,6,4
9721991,329,11,16,1834,3,3,6,4
9722014,335,28,35,1834,7,7,7,9
9722039,341,29,26,917,9,7,10,6
9722062,347,32,35,917,8,8,7,9
9722086,355,5,3,1834,5,1,1,1
9722110,359,10,0,2751,1,3,0,0
9722131,363,29,16,2751,9,7,6,4
9722154,367,28,36,1834,7,7,9,9
9722177,372,7,0,1834,2,2,0,0
9722201,377,27,23,917,5,7,4,6
9722223,383,28,34,2751,7,7,12,8
9722245,387,28,15,2751,7,7,4,4
9722266,391,11,16,1834,3,3,6,4
9722287,398,22,37,3668,9,5,11,9
9722311,403,29,35,1834,9,7,7,9
9722333,410,14,13,917,2,4,0,4
9722355,414,11,20,1834,3,3,5,5
9722378,420,4,6,1834,3,1,0,2
9722399,424,29,31,1834,9,7,6,8
9722421,429,28,23,1834,7,7,4,6
9722442,435,35,28,1834,7,9,7,7
9722464,440,25,31,1834,8,6,6,8
9722488,445,11,0,2751,3,3,0,0
9722509,448,7,5,1834,2,2,5,1
9722532,453,14,15,917,2,4,4,4
9722555,461,32,35,917,8,8,7,9
9722578,468,10,14,917,1,3,2,4
9722598,471,11,18,1834,3,3,1,5
9722618,475,4,2,917,3,1,4,0
9722642,482,26,37,2751,10,6,11,9
9722664,487,7,13,1834,2,2,0,4
9722687,495,25,33,1834,8,6,10,8
9722712,501,11,5,1834,3,3,5,1
9722735,507,7,13,1834,2,2,0,4
9722755,511,15,3,2751,4,4,1,1
9722775,516,32,36,917,8,8,9,9
9722795,520,28,21,1834,7,7,7,5
9722818,526,4,16,2751,3,1,6,4
9722841,532,11,0,2751,3,3,0,0
9722864,538,11,3,1834,3,3,1,1
9722884,543,11,10,917,3,3,1,3
9722904,549,8,15,1834,4,2,4,4
9722928,555,25,36,2751,8,6,9,9
9722948,559,11,15,917,3,3,4,4
9722970,565,29,21,1834,9,7,7,5
9722990,569,8,1,1834,4,2,2,0
9723013,572,17,21,917,8,4,7,5
9723035,577,21,28,1834,7,5,7,7
9723056,581,11,9,1834,3,3,6,2
