,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
33614036,2,26,16,2751,10,6,6,4
33614057,5,28,36,1834,7,7,9,9
33614078,10,30,36,1834,11,7,9,9
33614099,13,7,15,1834,2,2,4,4
33614123,18,15,23,1834,4,4,4,6
33614144,23,11,20,1834,3,3,5,5
33614168,26,11,24,2751,3,3,6,6
33614190,30,8,6,1834,4,2,0,2
33614211,35,8,0,2751,4,2,0,0
33614233,40,32,21,2751,8,8,7,5
33614255,44,25,24,917,8,6,6,6
33614278,48,24,15,1834,6,6,4,4
33614301,54,7,16,2751,2,2,6,4
33614323,58,15,24,1834,4,4,6,6
33614344,64,7,12,1834,2,2,5,3
33614366,69,11,3,1834,3,3,1,1
33614388,73,25,16,1834,8,6,6,4
33614411,76,32,37,1834,8,8,11,9
33614435,82,28,16,2751,7,7,6,4
33614457,87,32,29,917,8,8,9,7
33614478,92,3,5,1834,1,1,5,1
33614500,98,11,13,1834,3,3,0,4
33614520,103,11,9,1834,3,3,6,2
33614541,108,29,36,1834,9,7,9,9
33614562,111,28,23,1834,7,7,4,6
33614583,115,28,35,1834,7,7,7,9
33614604,118,32,15,3668,8,8,4,4
33614625,122,29,37,1834,9,7,11,9
33614647,126,11,6,1834,3,3,0,2
33614669,131,11,6,1834,3,3,0,2
33614692,135,4,9,1834,3,1,6,2
33614715,140,8,5,917,4,2,5,1
33614738,145,9,4,1834,6,2,3,1
33614760,151,4,0,1834,3,1,0,0
33614782,154,28,25,917,7,7,8,6
33614804,160,31,37,2751,6,8,11,9
33614824,164,4,1,917,3,1,2,0
33614846,167,11,3,1834,3,3,1,1
33614868,172,28,26,1834,7,7,10,6
33614890,176,33,37,917,10,8,11,9
33614911,180,8,9,917,4,2,6,2
33614933,184,11,14,917,3,3,2,4
33614955,189,8,16,1834,4,2,6,4
33614978,192,7,0,1834,2,2,0,0
33614998,198,29,22,1834,9,7,9,5
33615020,202,11,23,2751,3,3,4,6
33615044,210,8,24,3668,4,2,6,6
33615065,215,11,1,2751,3,3,2,0
33615085,219,8,1,1834,4,2,2,0
33615108,224,28,35,1834,7,7,7,9
33615131,228,29,22,1834,9,7,9,5
33615153,232,28,30,1834,7,7,11,7
33615175,236,8,18,2751,4,2,1,5
33615196,242,4,2,917,3,1,4,0
33615219,247,5,16,2751,5,1,6,4
33615245,252,15,24,1834,4,4,6,6
33615267,255,11,24,2751,3,3,6,6
33615288,260,28,24,917,7,7,6,6
33615309,263,25,21,917,8,6,7,5
33615333,266,28,35,1834,7,7,7,9
33615356,269,25,37,2751,8,6,11,9
33615380,272,7,3,917,2,2,1,1
33615400,277,11,0,2751,3,3,0,0
33615422,280,11,12,917,3,3,5,3
33615443,283,8,2,1834,4,2,4,0
33615464,286,8,13,2751,4,2,0,4
