,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
62665354,5,26,35,2751,10,6,7,9
62665377,11,8,14,1834,4,2,2,4
62665399,15,24,15,1834,6,6,4,4
62665422,21,24,36,2751,6,6,9,9
62665444,24,29,35,1834,9,7,7,9
62665464,28,11,24,2751,3,3,6,6
62665484,31,7,13,1834,2,2,0,4
62665507,36,7,0,1834,2,2,0,0
62665528,41,14,24,2751,2,4,6,6
62665551,46,6,23,3668,0,2,4,6
62665575,51,11,6,1834,3,3,0,2
62665596,56,29,35,1834,9,7,7,9
62665617,60,29,35,1834,9,7,7,9
62665638,64,11,9,1834,3,3,6,2
62665660,69,11,4,1834,3,3,3,1
62665681,74,32,35,917,8,8,7,9
62665703,80,8,3,1834,4,2,1,1
62665732,85,6,14,1834,0,2,2,4
62665754,90,11,0,2751,3,3,0,0
62665777,94,4,5,917,3,1,5,1
62665801,99,12,5,1834,5,3,5,1
62665822,105,33,37,917,10,8,11,9
62665846,109,11,6,1834,3,3,0,2
62665869,114,32,37,1834,8,8,11,9
62665891,120,4,5,917,3,1,5,1
62665912,123,29,36,1834,9,7,9,9
62665933,127,32,30,1834,8,8,11,7
62665954,131,11,3,1834,3,3,1,1
62665977,138,8,16,1834,4,2,6,4
62666002,142,35,32,917,7,9,8,8
62666025,147,15,13,1834,4,4,0,4
62666046,151,6,0,1834,0,2,0,0
62666067,156,29,37,1834,9,7,11,9
62666087,158,25,37,2751,8,6,11,9
62666108,165,29,36,1834,9,7,9,9
62666129,168,28,36,1834,7,7,9,9
62666153,173,11,14,917,3,3,2,4
62666174,178,7,10,917,2,2,1,3
62666198,182,14,13,917,2,4,0,4
62666220,186,8,6,1834,4,2,0,2
62666244,191,15,14,917,4,4,2,4
62666265,195,28,37,2751,7,7,11,9
62666285,199,8,13,2751,4,2,0,4
62666307,203,11,1,2751,3,3,2,0
62666328,209,4,3,917,3,1,1,1
62666351,213,25,26,917,8,6,10,6
62666372,218,4,3,917,3,1,1,1
62666393,221,8,13,2751,4,2,0,4
62666413,225,21,23,1834,7,5,4,6
62666436,229,8,16,1834,4,2,6,4
62666456,234,7,15,1834,2,2,4,4
62666476,238,12,23,2751,5,3,4,6
62666496,242,11,13,1834,3,3,0,4
62666516,246,25,30,1834,8,6,11,7
62666538,250,8,0,2751,4,2,0,0
62666562,254,14,18,917,2,4,1,5
62666584,259,8,1,1834,4,2,2,0
62666604,264,8,16,1834,4,2,6,4
62666626,266,32,36,917,8,8,9,9
62666651,272,25,24,917,8,6,6,6
62666673,276,26,24,1834,10,6,6,6
62666697,282,7,10,917,2,2,1,3
62666717,286,7,14,1834,2,2,2,4
62666742,290,21,16,917,7,5,6,4
62666764,294,8,18,2751,4,2,1,5
62666784,297,25,35,2751,8,6,7,9
62666806,304,29,17,2751,9,7,8,4
62666827,308,10,24,3668,1,3,6,6
62666851,314,4,13,2751,3,1,0,4
62666874,316,11,5,1834,3,3,5,1
62666898,319,25,37,2751,8,6,11,9
62666920,324,2,9,1834,4,0,6,2
62666944,330,25,37,2751,8,6,11,9
62666971,335,17,35,4585,8,4,7,9
62666991,341,11,18,1834,3,3,1,5
62667012,344,11,23,2751,3,3,4,6
62667033,349,8,10,1834,4,2,1,3
62667057,352,25,36,2751,8,6,9,9
62667082,357,11,20,1834,3,3,5,5
62667107,361,11,24,2751,3,3,6,6
62667129,365,11,24,2751,3,3,6,6
62667151,372,11,7,917,3,3,2,2
62667174,377,11,24,2751,3,3,6,6
62667198,380,15,9,1834,4,4,6,2
62667219,385,28,33,1834,7,7,10,8
62667241,389,11,15,917,3,3,4,4
62667261,392,32,16,3668,8,8,6,4
62667282,396,15,10,1834,4,4,1,3
62667305,399,4,5,917,3,1,5,1
62667325,404,11,0,2751,3,3,0,0
62667347,408,31,36,1834,6,8,9,9
62667370,412,4,0,1834,3,1,0,0
62667390,417,11,15,917,3,3,4,4
62667413,422,4,16,2751,3,1,6,4
62667435,426,23,7,3668,4,6,2,2
62667458,430,11,12,917,3,3,5,3
62667478,434,11,13,1834,3,3,0,4
62667502,438,25,23,1834,8,6,4,6
62667526,444,8,15,1834,4,2,4,4
62667550,448,10,13,917,1,3,0,4
62667571,452,11,14,917,3,3,2,4
62667595,457,4,1,917,3,1,2,0
62667617,460,19,16,1834,3,5,6,4
62667640,465,32,35,917,8,8,7,9
62667662,468,7,16,2751,2,2,6,4
62667682,471,7,13,1834,2,2,0,4
62667702,476,22,26,917,9,5,10,6
62667722,481,24,17,1834,6,6,8,4
62667743,484,10,20,2751,1,3,5,5
62667766,490,14,5,2751,2,4,5,1
62667787,493,21,33,2751,7,5,10,8
62667810,498,35,37,1834,7,9,11,9
62667831,502,35,37,1834,7,9,11,9
62667852,505,4,6,1834,3,1,0,2
62667873,509,32,24,1834,8,8,6,6
62667896,515,32,37,1834,8,8,11,9
62667916,518,29,34,1834,9,7,12,8
62667936,522,11,7,917,3,3,2,2
62667960,528,4,5,917,3,1,5,1
62667981,531,11,5,1834,3,3,5,1
62668004,535,35,36,917,7,9,9,9
62668025,539,11,5,1834,3,3,5,1
62668048,543,7,5,1834,2,2,5,1
62668069,547,25,33,1834,8,6,10,8
62668090,550,7,9,1834,2,2,6,2
62668112,554,33,26,1834,10,8,10,6
62668134,558,12,9,917,5,3,6,2
62668154,561,29,28,917,9,7,7,7
62668176,565,11,13,1834,3,3,0,4
62668196,568,15,18,1834,4,4,1,5
62668217,572,7,1,1834,2,2,2,0
62668240,579,11,16,1834,3,3,6,4
62668264,582,11,15,917,3,3,4,4
62668287,585,25,26,917,8,6,10,6
