,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
46826440,0,11,5,1834,3,3,5,1
46826461,4,25,35,2751,8,6,7,9
46826484,10,29,36,1834,9,7,9,9
46826508,15,15,13,1834,4,4,0,4
46826529,20,7,2,1834,2,2,4,0
46826551,25,8,1,1834,4,2,2,0
46826572,30,12,16,917,5,3,6,4
46826595,34,8,16,1834,4,2,6,4
46826619,41,11,13,1834,3,3,0,4
46826639,46,25,26,917,8,6,10,6
46826661,50,28,35,1834,7,7,7,9
46826685,55,12,0,3668,5,3,0,0
46826706,62,29,27,1834,9,7,5,7
46826728,67,3,2,1834,1,1,4,0
46826749,72,32,37,1834,8,8,11,9
46826774,76,25,26,917,8,6,10,6
46826795,80,32,35,917,8,8,7,9
46826817,86,25,37,2751,8,6,11,9
46826837,91,16,12,917,6,4,5,3
46826857,94,8,24,3668,4,2,6,6
46826880,98,4,9,1834,3,1,6,2
46826902,104,11,0,2751,3,3,0,0
46826922,107,4,2,917,3,1,4,0
46826944,110,25,36,2751,8,6,9,9
46826965,115,32,36,917,8,8,9,9
46826986,117,25,37,2751,8,6,11,9
46827006,124,25,26,917,8,6,10,6
46827026,127,28,35,1834,7,7,7,9
46827049,133,11,20,1834,3,3,5,5
46827070,137,6,5,2751,0,2,5,1
46827092,141,32,21,2751,8,8,7,5
46827113,146,5,20,3668,5,1,5,5
46827134,148,11,0,2751,3,3,0,0
46827156,152,1,6,1834,2,0,0,2
46827178,155,14,23,1834,2,4,4,6
46827201,159,5,2,917,5,1,4,0
46827225,164,7,9,1834,2,2,6,2
46827246,169,28,23,1834,7,7,4,6
46827267,173,11,24,2751,3,3,6,6
46827288,177,8,12,917,4,2,5,3
46827310,182,11,16,1834,3,3,6,4
46827332,186,11,16,1834,3,3,6,4
46827352,191,25,21,917,8,6,7,5
46827376,196,7,20,2751,2,2,5,5
46827398,199,29,36,1834,9,7,9,9
46827421,204,11,5,1834,3,3,5,1
46827444,208,11,24,2751,3,3,6,6
46827466,213,32,35,917,8,8,7,9
46827487,217,8,11,917,4,2,3,3
46827510,220,32,35,917,8,8,7,9
46827532,225,11,15,917,3,3,4,4
46827556,230,29,35,1834,9,7,7,9
46827576,235,4,9,1834,3,1,6,2
46827597,240,15,14,917,4,4,2,4
46827619,244,7,23,3668,2,2,4,6
46827641,250,11,5,1834,3,3,5,1
46827662,254,11,16,1834,3,3,6,4
46827684,259,11,6,1834,3,3,0,2
46827705,263,24,20,917,6,6,5,5
46827727,266,15,18,1834,4,4,1,5
